Instrument;Symbol;Type;Feeling;Strategy;Entry ;Open time;Month; Balance ; Risk ; Risk Percent ; Net Profit ;Profit percent; Profit major ;Partial Exit 1;Partial Exit 2;Results;Screen shot;Coments;Fix;;;;;;
Forex;GBPUSD;Sell;High Risk;Mistake;Mistake;2021-02-03;Feb; $500,00 ; $-5,00 ;-1,00%; $-17,62 ;-3,5%; $-17,62 ;;;loss;;Signal kas dige;;;;;;;
Forex;GBPAUD;Buy;High Risk;Mistake;Mistake;2021-02-03;Feb; $482,38 ; $-5,00 ;-1,04%; $-14,66 ;-3,0%; $-14,66 ;;;loss;;Signal kas dige;;;;;;;
Forex;EURGBP;Buy;High Risk;Mistake;Mistake;2021-02-04;Feb; $467,72 ; $-5,00 ;-1,07%; $-4,54 ;-1,0%; $-4,54 ;;;loss;;mistake;;;;;;;
Forex;GBPUSD;Buy;Low Risk;1H-Downtrend;Sharp;2021-02-04;Feb; $463,18 ; $-5,00 ;-1,08%; $0,56 ;0,1%; $0,56 ;;;win;;;;;;;;;
Stock;NIO;Buy;Normal Risk;Side;Side;2021-01-29;Jan; $463,74 ; $-5,00 ;-1,08%; $-3,64 ;-0,8%; $-3,64 ;;;loss;;market;;Total loss;17;;;;
Stock;SFIX;;;;;2021-02-08;Feb; $460,10 ; $-5,00 ;-1,09%; $-21,16 ;-4,6%; $-21,16 ;;;loss;;dastam khord baste shod;;Market;3;;;;
Stock;BE;Sell;High Risk;1D-Downtrend;ATH, hammer;2021-02-11;Feb; $438,94 ; $-5,00 ;-1,14%; $5,95 ;1,4%; $5,95 ;;;win;;;;Small SL;1;;;;
Forex;GBPAUD;Sell;Normal Risk;1H-Downtrend;P2-one;2021-02-12;Feb; $444,89 ; $-5,00 ;-1,12%; $-9,84 ;-2,2%; $-9,84 ;;;loss;;Inside;;Inside;3;;;;
Stock;DVN;Buy;Low Risk;1D-Uptrend;P2-one;2021-03-02;Mar; $435,05 ; $-5,00 ;-1,15%; $3,80 ;0,9%; $3,80 ;;;win;;;;There was no trend;1;;;;
Stock;ATVI;Sell;High Risk;1D-Downtrend;Hammer;2021-02-11;Feb; $438,85 ; $-5,00 ;-1,14%; $22,08 ;5,0%; $22,08 ;;;win;;;;Hammer;2;;;;
Forex;AUDUSD;Buy;Low Risk;1H-Uptrend;P2-one;2021-02-21;Feb; $460,93 ; $-5,00 ;-1,08%; $7,84 ;1,7%; $7,84 ;;;win;;;;Movement, 10min;0;;;;
Stock;BE;Sell;Low Risk;1D-Downtrend;Hammer;2021-02-11;Feb; $468,77 ; $-5,00 ;-1,07%; $5,95 ;1,3%; $5,95 ;;;win;;;;My mistakes;10;;;;
Forex;CADCHF;Buy;Low Risk;1H-Uptrend;P2-one;2021-02-22;Feb; $474,72 ; $-5,00 ;-1,05%; $8,23 ;1,7%; $8,23 ;;;win;;;;;;;;;
Stock;CRSP;Sell;High Risk;1D-Uptrend;Sharp;2021-02-16;Feb; $482,95 ; $-5,00 ;-1,04%; $-41,21 ;-8,5%; $-41,21 ;;;loss;;bad chart;;;;;;;
Stock;DVN;Buy;Low Risk;1D-Uptrend;P2-one;2021-02-03;Feb; $441,74 ; $-5,00 ;-1,13%; $5,38 ;1,2%; $3,80 ;1,58;;win;;;;;;;;;
Forex;EURAUD;Sell;High Risk;1H-Downtrend;Mistake;2021-02-25;Feb; $447,12 ; $-5,00 ;-1,12%; $-51,20 ;-11,5%; $-51,20 ;;;loss;;mistkae;;;;;;;
Forex;EURCAD;Sell;High Risk;1H-Downtrend;Mistake;2021-02-22;Feb; $395,92 ; $-5,00 ;-1,26%; $10,90 ;2,8%; $10,90 ;;;win;;;;;;;;;
Forex;EURCAD;Sell;High Risk;1D-Downtrend;Mistake;2021-02-25;Feb; $406,82 ; $-5,00 ;-1,23%; $-89,23 ;-21,9%; $-89,23 ;;;loss;;mistake;;;;;;;
Forex;GBPAUD;Sell;High Risk;1H-Downtrend;Mistake;2021-02-12;Feb; $317,59 ; $-5,00 ;-1,57%; $-9,84 ;-3,1%; $-9,84 ;;;loss;;Inside;;;;;;;
Index;NAS100;Buy;High Risk;1D-Uptrend;Hammer;2021-01-24;Jan; $307,75 ; $-5,00 ;-1,62%; $-40,20 ;-13,1%; $-40,20 ;;;loss;;Small SL;;;;;;;
Stock;NIO;Buy;High Risk;1D-Uptrend;Mistake;2021-01-29;Jan; $267,55 ; $-5,00 ;-1,87%; $-3,64 ;-1,4%; $-3,64 ;;;loss;;There was no trend;;;;;;;
Stock;PLUG;Buy;Normal Risk;Side;Side;2021-02-16;Feb; $263,91 ; $-5,00 ;-1,89%; $-34,92 ;-13,2%; $-34,92 ;;;loss;;market;;;;;;;
Stock;SFIX;Buy;High Risk;1D-Uptrend;Mistake;2021-02-08;Feb; $228,99 ; $-5,00 ;-2,18%; $-48,17 ;-21,0%; $-23,32 ;-24,85;;loss;;Inside;;;;;;;
Stock;TME;Buy;Normal Risk;Side;Side;2021-02-22;Feb; $180,82 ; $-5,00 ;-2,77%; $-24,85 ;-13,7%; $-24,85 ;;;loss;;market;;;;;;;
Stock;X;Buy;Normal Risk;1D-Uptrend;Mistake;2021-02-26;Feb; $155,97 ; $-5,00 ;-3,21%; $1,28 ;0,8%; $1,28 ;;;win;;;;;;;;;
Stock;SKT;Buy;Low Risk;1D-Uptrend;P2-one;2021-02-10;Feb; $157,25 ; $-5,00 ;-3,18%; $11,30 ;7,2%; $5,32 ;5,98;;win;;;;;;;;;
Stock;FCEL;Buy;High Risk;1D-Uptrend;Hammer;2021-02-24;Feb; $168,55 ; $-5,00 ;-2,97%; $-16,66 ;-9,9%; $-16,66 ;;;loss;;;;;;;;;
Stock;BCRX;Buy;Low Risk;1D-Uptrend;P2-one;2021-02-08;Feb; $151,89 ; $-5,00 ;-3,29%; $9,34 ;6,1%; $9,34 ;;;win;;;;;;;;;
Forex;NZDCAD;Buy;Low Risk;1H-Uptrend;P2-one;2021-02-26;Feb; $161,23 ; $-5,00 ;-3,10%; $-79,24 ;-49,1%; $-79,24 ;;;loss;;;;;;;;;
Forex;NZDCHF;Buy;Low Risk;1H-Uptrend;P2-one;2021-03-01;Mar; $81,99 ; $-5,00 ;-6,10%; $7,78 ;9,5%; $7,78 ;;;win;;;;;;;;;
Forex;NZDJPY;Buy;Normal Risk;1H-Uptrend;P2-one;2021-03-02;Mar; $89,77 ; $-5,00 ;-5,57%; $12,04 ;13,4%; $12,04 ;;;win;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
